temp,windspeed,humidity,cloudcover,dhi,dni,dewpoint
16,3.5,88.3,60.5,169,0,14.4
17,3.9,85,61.7,198,0,14.8
18,4.1,81.9,84.2,90,0,15.1
19,4,77.9,69.5,170,0,15
20,4,75.2,49.2,233,35,14.9
20,3.9,71.6,25.1,175,270,14.7
20,3.7,68.2,25.8,128,178,14.3
20,3.6,69.4,0.4,28,363,13.8
18,3.5,73.4,7.4,0,0,13.6
18,3.7,76.9,0,0,0,13.7
17,4.1,80.4,0,0,0,13.8
17,4.4,83.6,0,0,0,14
17,4.5,86.3,0,0,0,14.2
16,4.7,88.5,0,0,0,14.1
16,4.7,89.6,6.5,0,0,14
16,4.7,89.9,4.8,0,0,13.9
16,4.6,90.5,4.5,0,0,14
16,4.5,91.7,0,0,0,14.4
16,4.5,92.3,0,0,0,14.6
16,4.4,92.3,0,0,0,14.4
15,4.5,92.6,4.6,0,0,14.2
15,4.6,93.2,12.4,6,18,14.3
16,4.4,92.3,14.9,50,319,14.6
17,4.2,88.9,34.2,127,205,14.8
18,4.5,84.2,6,88,705,14.8
18,4.6,80,9,122,681,14.6
19,4.5,77,35.3,131,423,14.4
19,4.4,73.7,44.7,134,317,14
19,4.1,68,88.5,57,0,13.2
19,3.7,65.9,88.8,44,0,12.1
18,3.5,68.8,85.9,31,0,11.7
17,3,69.1,30,44,13,11
16,2.7,70.3,18.6,0,0,10.3
15,2.8,75,4,0,0,10.6
15,3.1,78.2,1.4,0,0,10.9
14,3.3,80.3,1.2,0,0,11
14,3.7,81.3,25.1,0,0,10.6
13,4.1,82.3,29.2,0,0,10.4
13,4.8,84.5,51.7,0,0,10
11,5.4,83.5,29.3,0,0,8.5
10,5.7,79.1,33,0,0,6.4
9,6.1,76.3,12.8,0,0,5.2
8,6.3,75.1,7.4,0,0,4.2
8,5.6,75.3,5.7,0,0,3.5
7,5.1,75.7,4.7,0,0,3.1
7,5.4,75.7,12.5,6,3,2.8
7,5.2,74.9,44.3,63,12,2.6
7,4.8,72.1,78.6,63,0,2.4
8,4.5,67.7,82.2,81,0,2
8,4.4,63.6,74.8,139,0,1.6
9,4.4,60.2,41.8,310,67,1.3
9,4.5,57.1,27.3,279,266,1.1
10,4.4,54.8,12.9,158,594,0.9
10,4.2,53.5,0,54,861,0.7
9,4,53,0,44,748,0.3
8,3.6,57.7,0,23,409,0
6,3.2,65.9,0,0,0,0
5,3.1,72.1,0,0,0,0.1
4,3,77.1,0,0,0,0.2
3,2.8,80.4,0,0,0,0.2
2,2.5,83.9,0,0,0,-0.1
2,2.3,86,0.6,0,0,-0.3
2,2.2,86.9,1.2,0,0,-0.5
1,2.1,87.8,0,0,0,-0.8
1,2.1,88.1,4.9,0,0,-1.2
0,1.9,88,15.1,0,0,-1.6
-1,1.6,88,17.8,0,0,-2.3
-1,1.5,89.9,19,0,0,-2.7
-2,1.3,91.2,20,0,0,-2.8
-2,1.3,90.5,11.9,4,44,-2.9
0,1.3,88,4.7,45,475,-2.2
2,1.2,81.7,9.9,92,556,-1
5,1.2,70.2,1.2,67,847,-0.2
8,1.1,59,0,64,922,-0.1
9,1,51.5,0.1,68,936,-0.2
11,1.1,45.8,0,66,936,-0.4
12,1.2,41.4,0,63,911,-0.8
12,1.1,39.3,0.4,59,843,-1.2
12,0.9,43.1,26.9,127,183,-0.1
12,0.9,45,18.8,39,162,0
10,1.3,47.2,13.9,0,0,-0.4
9,1.6,57.9,19.7,0,0,0.7
7,1.7,67,33.1,0,0,1.1
6,1.7,69.3,8.2,0,0,0.8
5,1.7,69.9,6.8,0,0,0.1
4,1.8,70.5,0,0,0,-0.5
4,2.1,70.4,0,0,0,-1.2
3,2.5,71.5,0,0,0,-1.9
2,2.6,73.7,0,0,0,-2.3
1,2.7,76.1,0,0,0,-2.4
1,2.7,78,0,0,0,-2.8
0,2.5,81.7,0,0,0,-2.8
-1,2.3,85.1,0,0,0,-2.6
-1,2.4,85.7,0,3,43,-2.6
0,2,83.9,0,32,597,-2.1
3,1.3,75.4,0,48,809,-0.8
8,0.9,58.3,0,56,897,-0.2
11,1.1,45.6,0,61,939,-0.4
13,1.4,38.1,0,63,955,-1
15,1.5,31.5,0,62,950,-2.1
15,1.5,27.9,0,59,923,-3.1
16,1.5,26,0,54,866,-3.5
16,1.2,29.8,0,44,750,-1.6
14,1.4,37.6,0,22,388,-0.5
10,1.9,45.4,0,0,0,-1.3
8,1.8,52.6,0,0,0,-1.2
7,1.9,57.6,0,0,0,-1
6,2.3,61,0,0,0,-1.2
5,2.4,63.7,0,0,0,-1.8
4,2.4,66.1,0,0,0,-2
3,2.4,67.9,0,0,0,-2.2
3,2.3,69.6,0,0,0,-2.5
2,2.4,71,0,0,0,-2.8
1,2.6,73,0,0,0,-3.1
1,2.6,75.1,0,0,0,-3.2
0,2.6,78.2,0,0,0,-3.4
-1,2.6,80.7,0,0,0,-3.6
-1,2.7,81.9,0,3,39,-3.6
0,2.7,80.2,0,31,605,-3
3,2.7,70.9,0.2,49,816,-1.5
8,2.9,55.3,0,56,911,-0.4
12,3,41.6,0,60,952,-1.1
14,3,33.1,0,62,966,-2.2
16,3.1,29.1,0,62,958,-2.5
17,3.2,27.1,0,59,929,-2.6
17,3.2,26.5,0.9,58,845,-2.6
16,3,30.3,10.8,77,507,-1.3
14,3.1,37.3,0,22,346,-0.2
11,3.5,45.8,12.7,0,0,0
10,3.7,53.1,5,0,0,0.6
9,3.6,57.9,4.6,0,0,1
8,3.6,62.9,27.2,0,0,1.3
7,3.7,66.9,50.8,0,0,1.5
7,3.7,70.4,31,0,0,1.7
7,3.6,73,7.4,0,0,2.2
7,3.4,74.9,9.1,0,0,2.6
6,3.4,78,8.2,0,0,2.8
6,3.4,81.9,6.5,0,0,3
5,3.3,85.1,0,0,0,2.9
5,3,86.9,6.4,0,0,3.1
5,3,88.2,18.7,0,0,3.4
5,3.3,88.5,8.3,3,19,3.4
6,3.4,85.8,2.4,41,414,3.6
8,3.3,79.1,8.7,92,498,4.2
11,3.1,70.7,47.8,151,130,5.4
13,3.3,66.2,52.4,198,74,6.5
14,3.4,65.9,34,277,139,7.2
14,3.3,66.3,40.2,263,93,7.9
15,3.3,67,62.3,173,0,8.5
15,3.4,68.4,78,79,0,8.8
14,3.7,72.4,56.3,86,0,9.2
14,3.6,76.8,28.8,35,23,9.6
13,3.4,80.4,35.2,0,0,9.8
13,3.5,84.5,50.4,0,0,10.2
13,3.4,87,21.6,0,0,10.4
12,3.1,87.9,32.2,0,0,10.4
12,3,88.5,48.7,0,0,10.5
12,2.9,89.9,40.5,0,0,10.4
12,2.8,92.4,40,0,0,10.5
12,2.8,94.2,33.4,0,0,10.7
12,2.7,94.8,30.8,0,0,10.6
12,2.5,95.1,32.3,0,0,10.7
12,2.2,95.5,13.8,0,0,10.8
12,1.9,96.1,7.2,0,0,11
12,1.9,96.1,9.5,0,0,11.3
12,1.9,96.4,7.1,3,4,11.2
12,1.7,96.8,44.2,44,17,11.5
13,1.3,96.5,69,75,0,12.2
14,1.3,94,78.9,81,0,13.2
